product_id;status;current_handle;new_handle;rule;variant_count;variant_skus
15359986991434;ACTIVE;35176014175-679;35.176.014.17x;multi_variant_suffix_x;5;35.176.014.175,35.176.014.176,35.176.014.177,35.176.014.178,35.176.014.179
15360016646474;ACTIVE;35175214175-951;35.175.214.17x;multi_variant_suffix_x;5;35.175.214.175,35.175.214.176,35.175.214.177,35.175.214.178,35.175.214.179
15360050823498;ACTIVE;35174214175-1291;35.174.214.17x;multi_variant_suffix_x;5;35.174.214.175,35.174.214.176,35.174.214.177,35.174.214.178,35.174.214.179
15360084083018;ACTIVE;35173414175-1563;35.173.414.17x;multi_variant_suffix_x;5;35.173.414.175,35.173.414.176,35.173.414.177,35.173.414.178,35.173.414.179
15360162988362;ACTIVE;35170714175-2343;35.170.714.17x;multi_variant_suffix_x;5;35.170.714.175,35.170.714.176,35.170.714.177,35.170.714.178,35.170.714.179
15360179798346;ACTIVE;35169714175-2547;35.169.714.17x;multi_variant_suffix_x;5;35.169.714.175,35.169.714.176,35.169.714.177,35.169.714.178,35.169.714.179
15359987155274;ACTIVE;35176014188-681;35.176.014.18x;multi_variant_suffix_x;5;35.176.014.188,35.176.014.187,35.176.014.186,35.176.014.185,35.176.014.184
15360016843082;ACTIVE;35175214188-953;35.175.214.18x;multi_variant_suffix_x;5;35.175.214.188,35.175.214.187,35.175.214.186,35.175.214.185,35.175.214.184
15360051020106;ACTIVE;35174214188-1293;35.174.214.18x;multi_variant_suffix_x;5;35.174.214.188,35.174.214.187,35.174.214.186,35.174.214.185,35.174.214.184
15360084312394;ACTIVE;35173414188-1565;35.173.414.18x;multi_variant_suffix_x;5;35.173.414.188,35.173.414.187,35.173.414.186,35.173.414.185,35.173.414.184
15360163119434;ACTIVE;35170714188-2345;35.170.714.18x;multi_variant_suffix_x;5;35.170.714.188,35.170.714.187,35.170.714.186,35.170.714.185,35.170.714.184
15360179896650;ACTIVE;35169714188-2549;35.169.714.18x;multi_variant_suffix_x;5;35.169.714.188,35.169.714.187,35.169.714.186,35.169.714.185,35.169.714.184
15359987319114;ACTIVE;35176014194-683;35.176.014.19x;multi_variant_suffix_x;5;35.176.014.194,35.176.014.195,35.176.014.196,35.176.014.197,35.176.014.198
15360017039690;ACTIVE;35175214194-955;35.175.214.19x;multi_variant_suffix_x;5;35.175.214.194,35.175.214.195,35.175.214.196,35.175.214.197,35.175.214.198
15360051183946;ACTIVE;35174214194-1295;35.174.214.19x;multi_variant_suffix_x;5;35.174.214.194,35.174.214.195,35.174.214.196,35.174.214.197,35.174.214.198
15360084541770;ACTIVE;35173414194-1567;35.173.414.19x;multi_variant_suffix_x;5;35.173.414.194,35.173.414.195,35.173.414.196,35.173.414.197,35.173.414.198
15360163250506;ACTIVE;35170714194-2347;35.170.714.19x;multi_variant_suffix_x;5;35.170.714.194,35.170.714.195,35.170.714.196,35.170.714.197,35.170.714.198
15360179962186;ACTIVE;35169714194-2551;35.169.714.19x;multi_variant_suffix_x;5;35.169.714.194,35.169.714.195,35.169.714.196,35.169.714.197,35.169.714.198
15359987482954;ACTIVE;35176014201-685;35.176.014.20x;multi_variant_suffix_x;5;35.176.014.201,35.176.014.202,35.176.014.203,35.176.014.204,35.176.014.205
15360017334602;ACTIVE;35175214201-957;35.175.214.20x;multi_variant_suffix_x;5;35.175.214.201,35.175.214.202,35.175.214.203,35.175.214.204,35.175.214.205
15360051380554;ACTIVE;35174214201-1297;35.174.214.20x;multi_variant_suffix_x;5;35.174.214.201,35.174.214.202,35.174.214.203,35.174.214.204,35.174.214.205
15360084803914;ACTIVE;35173414201-1569;35.173.414.20x;multi_variant_suffix_x;5;35.173.414.201,35.173.414.202,35.173.414.203,35.173.414.204,35.173.414.205
15360163447114;ACTIVE;35170714201-2349;35.170.714.20x;multi_variant_suffix_x;5;35.170.714.201,35.170.714.202,35.170.714.203,35.170.714.204,35.170.714.205
15360180027722;ACTIVE;35169714201-2553;35.169.714.20x;multi_variant_suffix_x;5;35.169.714.201,35.169.714.202,35.169.714.203,35.169.714.204,35.169.714.205
15359987581258;ACTIVE;35176014516-686;35.176.014.51x;multi_variant_suffix_x;2;35.176.014.516,35.176.014.517
15360017432906;ACTIVE;35175214516-958;35.175.214.51x;multi_variant_suffix_x;2;35.175.214.516,35.175.214.517
15360051478858;ACTIVE;35174214516-1298;35.174.214.51x;multi_variant_suffix_x;2;35.174.214.516,35.174.214.517
15360084934986;ACTIVE;35173414516-1570;35.173.414.51x;multi_variant_suffix_x;2;35.173.414.516,35.173.414.517
15360163512650;ACTIVE;35170714516-2350;35.170.714.51x;multi_variant_suffix_x;2;35.170.714.516,35.170.714.517
